Iteration	Posterior	Likelihood	Prior	rate_log_sd	tree_length
0	-6198.171	-6402.569	204.398	1.044973	4.283585
6	-6186.589	-6391.371	204.7821	1.164767	3.997009
12	-6180.342	-6384.32	203.9786	1.109097	4.484095
18	-6202.872	-6407.865	204.9929	1.109097	3.908218
24	-6202.653	-6407.037	204.3834	1.161867	4.225606
30	-6199.554	-6404.571	205.0176	1.188317	3.848532
36	-6196.882	-6402.551	205.6688	1.166629	3.48403
42	-6201.719	-6406.515	204.7968	1.169475	3.985894
48	-6209.277	-6415.421	206.144	1.243755	3.158926
54	-6201.146	-6404.538	203.392	1.005962	4.870252
60	-6195.717	-6399.451	203.7337	1.029252	4.666405
66	-6190.267	-6393.968	203.701	1.00926	4.69587
72	-6195.508	-6398.661	203.1524	0.9941892	5.010125
78	-6187.719	-6391.683	203.9643	1.055592	4.522236
84	-6190.811	-6394.772	203.9605	1.144816	4.474174
90	-6189.338	-6393.755	204.417	1.063835	4.262143
96	-6195.804	-6400.151	204.3472	1.032643	4.319309
102	-6196.803	-6401.583	204.7797	1.114415	4.027138
108	-6186.975	-6391.456	204.4811	1.159822	4.171325
114	-6182.046	-6386.344	204.2978	1.121584	4.296935
120	-6188.993	-6393.804	204.8111	1.178403	3.972606
126	-6191.444	-6396.592	205.148	1.18122	3.777594
132	-6192.511	-6397.799	205.2879	1.176252	3.699707
138	-6192.781	-6396.223	203.4415	1.104805	4.787521
144	-6201.495	-6405.045	203.5504	0.9959244	4.787521
150	-6204.068	-6407.286	203.2177	1.028499	4.954716
156	-6199.391	-6403.084	203.693	1.059915	4.671989
162	-6201.716	-6405.599	203.8824	0.9894539	4.605368
168	-6206.877	-6410.84	203.9635	1.081138	4.508313
174	-6199.466	-6402.134	202.6678	0.9884637	5.281635
180	-6198.095	-6401.907	203.8116	1.105252	4.580081
186	-6199.77	-6404.062	204.2919	1.052037	4.339569
192	-6199.521	-6404.278	204.7568	1.0597	4.071419
198	-6200.069	-6403.865	203.7963	1.018587	4.637265
204	-6197.088	-6400.241	203.1527	0.9777388	5.019094
210	-6204.288	-6408.148	203.8603	1.049557	4.584035
216	-6194.52	-6398.754	204.2338	1.068696	4.363023
222	-6184.639	-6389.431	204.7922	1.108073	4.023617
228	-6190.812	-6395.503	204.6912	1.086075	4.093773
234	-6194.8	-6398.653	203.8528	1.020374	4.604633
240	-6212.642	-6417.351	204.709	1.04941	4.104478
246	-6208.323	-6413	204.6769	1.138045	4.072303
252	-6209.777	-6413.544	203.7669	0.9997127	4.664324
258	-6209.99	-6414.653	204.6635	0.9997127	4.158657
264	-6205.363	-6409.331	203.9686	1.040368	4.528362
270	-6203.312	-6407.284	203.9725	1.040368	4.52619
276	-6207.249	-6411.036	203.7869	0.9808289	4.663704
282	-6206.595	-6409.918	203.3225	0.9808289	4.922933
288	-6193.483	-6396.328	202.845	0.9449943	5.207732
294	-6202.742	-6405.872	203.1306	0.9449943	5.049511
300	-6197.293	-6401.732	204.4387	1.043795	4.26122
306	-6203.688	-6408.306	204.6172	1.076075	4.141572
312	-6195.308	-6398.641	203.3331	1.014317	4.898421
318	-6193.343	-6397.318	203.9758	1.021239	4.535081
324	-6202.83	-6406.709	203.8786	1.031021	4.584156
330	-6201.903	-6406.162	204.2596	1.051793	4.357956
336	-6203.458	-6408.137	204.6789	1.051793	4.120271
342	-6193.401	-6397.326	203.9245	1.01941	4.564899
348	-6197.419	-6400.467	203.0477	0.941735	5.097298
354	-6195.833	-6400.218	204.3855	0.9627594	4.33716
360	-6176.212	-6380.101	203.8887	1.012334	4.588984
366	-6181.689	-6386.094	204.4043	1.115006	4.240323
372	-6191.105	-6395.6	204.4949	1.126051	4.182664
378	-6194.25	-6397.753	203.5024	0.999722	4.812206
384	-6203.334	-6406.414	203.0805	1.021186	5.035054
390	-6198.763	-6403.625	204.8619	1.070079	4.005534
396	-6199.401	-6402.839	203.4383	1.003029	4.846101
402	-6212.317	-6415.405	203.0881	0.9895545	5.048378
408	-6212.489	-6416.433	203.944	1.065129	4.528281
414	-6209.66	-6413.259	203.5993	1.032879	4.739571
420	-6222.476	-6426.903	204.4273	1.191236	4.184035
426	-6210.584	-6416.503	205.9189	1.261165	3.281857
432	-6205.679	-6411.564	205.8847	1.193424	3.341887
438	-6207.739	-6412.443	204.7047	1.193326	4.024925
444	-6197.184	-6402.589	205.4049	1.166131	3.637857
450	-6206.234	-6412.167	205.9328	1.275468	3.265175
456	-6206.598	-6412.656	206.058	1.150285	3.265175
462	-6201.597	-6407.348	205.7503	1.151836	3.44506
468	-6197.224	-6401.951	204.7269	1.130515	4.048066
474	-6209.78	-6413.964	204.1836	1.093344	4.377415
480	-6206.236	-6411.585	205.3489	1.180974	3.661702
486	-6199.526	-6404.881	205.3552	1.114443	3.696549
492	-6199.82	-6404.769	204.9484	1.101345	3.93813
498	-6192.841	-6396.482	203.6409	0.9990069	4.735206
504	-6197.29	-6400.428	203.1372	0.9932616	5.019051
510	-6209.926	-6414.259	204.3335	1.06319	4.309745
516	-6210.149	-6414.252	204.103	1.130909	4.401701
522	-6204.812	-6409.685	204.8737	1.217422	3.914424
528	-6196.299	-6402.126	205.8271	1.274348	3.328165
534	-6203.415	-6409.694	206.2792	1.356445	3.010979
540	-6213.988	-6417.877	203.8894	1.02393	4.582092
546	-6215.766	-6419.639	203.8732	1.094642	4.55149
552	-6215.874	-6420.517	204.6425	1.136116	4.092998
558	-6202.506	-6406.396	203.8904	1.029557	4.578384
564	-6206.55	-6410.207	203.657	1.046799	4.699514
570	-6211.769	-6415.822	204.053	1.101901	4.446265
576	-6207.553	-6410.792	203.2389	0.9848691	4.967212
582	-6202.694	-6406.538	203.8439	1.003601	4.618982
588	-6208.476	-6412.354	203.8779	0.9696303	4.618982
594	-6213.39	-6418.937	205.5469	1.112228	3.586734
600	-6194.209	-6399.569	205.3597	1.217489	3.634291
606	-6198.439	-6403.695	205.2564	1.230301	3.686659
612	-6193.143	-6398.601	205.4581	1.224127	3.573272
618	-6203.67	-6408.825	205.1551	1.168071	3.781079
624	-6198.594	-6404.166	205.5717	1.168071	3.539816
630	-6197.293	-6401.793	204.4993	1.163737	4.158776
636	-6199.357	-6404.223	204.8655	1.126943	3.970935
642	-6198.07	-6402.705	204.6352	1.098773	4.118424
648	-6196.755	-6401.477	204.7228	1.096485	4.069827
654	-6185.976	-6390.883	204.9074	1.033101	4.000657
660	-6185.215	-6390.103	204.8884	1.091858	3.977891
666	-6188.222	-6393.107	204.885	1.095313	3.977891
672	-6193.609	-6398.794	205.185	1.087161	3.810441
678	-6193.265	-6397.512	204.2471	1.083621	4.347058
684	-6198.691	-6403.305	204.6144	1.079808	4.14104
690	-6207.419	-6412.203	204.7846	1.159982	3.998295
696	-6213.797	-6418.518	204.7206	1.03869	4.103991
702	-6216.107	-6420.609	204.5021	1.127309	4.177841
708	-6220.849	-6425.74	204.8906	1.127309	3.956389
714	-6217.133	-6421.63	204.4974	1.055467	4.22128
720	-6211.634	-6416.576	204.942	1.055467	3.968074
726	-6213.743	-6418.187	204.444	1.055467	4.251562
732	-6210.778	-6414.256	203.4786	0.9517015	4.852211
738	-6210.433	-6413.167	202.7335	0.9334419	5.275775
744	-6200.286	-6404.616	204.3297	1.024579	4.333749
750	-6201.011	-6405.043	204.032	1.024579	4.501608
